customers,utilization,variant,instance_seed,raw_cost,cost_2opt_only,cost_full_polish,seconds,feasible
20,0.85,ga,500,875.4168,865.9879,865.9879,15.61,1
20,0.85,ga,501,820.4963,803.8583,803.8583,15.81,1
20,0.85,ga,502,877.4832,877.4832,867.8405,15.76,1
20,0.85,ga,503,963.7157,962.5198,955.7010,15.58,1
20,0.85,ga,504,800.1542,800.1542,800.1542,15.76,1
20,0.85,ga,505,805.2492,805.2492,790.6909,15.78,1
20,0.85,ga,506,731.3969,731.3969,714.4406,15.65,1
20,0.85,ga,507,649.4135,636.9523,636.9523,15.75,1
20,0.85,ga,508,728.5034,728.5034,728.5034,15.58,1
20,0.85,ga,509,811.9072,800.2116,800.2116,15.58,1
20,0.85,ga,510,578.0593,578.0593,563.2379,15.79,1
20,0.85,ga,511,857.3311,851.5090,703.4647,15.80,1
20,0.85,ga,512,1035.5566,1035.5566,1035.5566,15.57,1
20,0.85,ga,513,868.4163,868.4163,868.4163,15.60,1
20,0.85,ga,514,721.1560,721.1560,721.1560,15.54,1
20,0.85,ga,515,1256.5873,1256.5873,1124.1427,15.52,1
20,0.85,ga,516,1249.1695,1249.1695,1236.0971,15.60,1
20,0.85,ga,517,973.5995,955.3253,914.7384,15.65,1
20,0.85,ga,518,932.2599,931.0888,931.0888,15.59,1
20,0.85,ga,519,736.1977,736.1977,736.1977,15.62,1
20,0.85,ga_warm,500,840.9906,840.9906,840.9906,14.63,1
20,0.85,ga_warm,501,783.6057,783.6057,782.9415,14.57,1
20,0.85,ga_warm,502,935.2696,935.2696,925.6268,14.51,1
20,0.85,ga_warm,503,1031.7007,1031.7007,854.5480,14.47,1
20,0.85,ga_warm,504,680.2834,680.2834,680.2834,14.63,1
20,0.85,ga_warm,505,832.0170,832.0170,802.0502,14.53,1
20,0.85,ga_warm,506,701.5181,701.5181,665.4248,14.74,1
20,0.85,ga_warm,507,700.4534,700.4534,601.4562,14.71,1
20,0.85,ga_warm,508,760.7947,760.7947,741.5680,14.69,1
20,0.85,ga_warm,509,818.9673,818.9673,818.9673,14.64,1
20,0.85,ga_warm,510,707.1898,707.1898,707.1898,14.63,1
20,0.85,ga_warm,511,685.8949,685.8949,639.3443,14.65,1
20,0.85,ga_warm,512,996.5447,996.5447,996.5447,14.61,1
20,0.85,ga_warm,513,843.4126,843.4126,808.4485,14.62,1
20,0.85,ga_warm,514,726.8491,726.8491,726.8491,14.62,1
20,0.85,ga_warm,515,1073.1970,1073.1970,1073.1513,14.69,1
20,0.85,ga_warm,516,1118.7573,1118.7573,1099.1954,14.37,1
20,0.85,ga_warm,517,927.8446,927.8446,927.8446,14.28,1
20,0.85,ga_warm,518,1162.4020,1162.4020,1032.9413,14.27,1
20,0.85,ga_warm,519,786.5031,786.5031,786.5031,14.27,1
20,0.85,nn,500,923.0184,884.3025,884.3025,0.01,1
20,0.85,nn,501,1088.2476,992.9198,798.1139,0.01,1
20,0.85,nn,502,1325.8842,1275.7987,1020.9902,0.01,1
20,0.85,nn,503,1283.0768,1228.4953,756.2559,0.01,1
20,0.85,nn,504,725.5492,680.2834,680.2834,0.01,1
20,0.85,nn,505,987.6759,946.6724,775.2428,0.01,1
20,0.85,nn,506,826.9861,824.9196,715.4721,0.01,1
20,0.85,nn,507,756.2827,748.5369,593.1791,0.01,1
20,0.85,nn,508,782.4617,775.7267,741.5680,0.01,1
20,0.85,nn,509,908.3002,846.6230,846.6230,0.01,1
20,0.85,nn,510,1093.3869,1040.1359,591.4077,0.01,1
20,0.85,nn,511,845.8394,841.7462,743.9414,0.01,1
20,0.85,nn,512,1016.7209,1009.5400,1009.5400,0.01,1
20,0.85,nn,513,871.6845,844.9675,808.4485,0.01,1
20,0.85,nn,514,859.7888,822.0313,724.7739,0.01,1
20,0.85,nn,515,1310.2612,1258.5991,1215.9503,0.01,1
20,0.85,nn,516,1501.6498,1492.5445,1230.7500,0.01,1
20,0.85,nn,517,1228.8317,1186.1721,924.3491,0.01,1
