customers,utilization,variant,instance_seed,raw_cost,cost_2opt_only,cost_full_polish,seconds,feasible
100,0.85,pso,516,7823.2428,6026.2659,3853.9777,10.35,1
100,0.85,pso,517,6902.7758,5585.9153,4099.0178,10.19,1
100,0.85,pso,518,6681.9353,5113.9001,3571.5078,10.36,1
100,0.85,pso,519,6832.1600,5502.5058,3900.8337,10.27,1
100,0.85,pso_warm,500,3907.4953,3891.6456,3671.6576,9.58,1
100,0.85,pso_warm,501,2751.7710,2751.7710,2518.1800,9.66,1
100,0.85,pso_warm,502,3526.8477,3503.0734,3260.8768,9.55,1
100,0.85,pso_warm,503,3526.8038,3508.1179,3200.8461,9.58,1
100,0.85,pso_warm,504,2884.1529,2872.6258,2462.0032,9.63,1
100,0.85,pso_warm,505,3607.1851,3607.1851,3253.4500,9.58,1
100,0.85,pso_warm,506,2940.1673,2917.5353,2862.3009,9.53,1
100,0.85,pso_warm,507,3008.5979,3003.6992,2743.6548,9.63,1
100,0.85,pso_warm,508,3173.8351,3173.8351,3026.9957,9.60,1
100,0.85,pso_warm,509,3373.7983,3361.9016,3129.8650,9.71,1
100,0.85,pso_warm,510,2628.0113,2628.0113,2593.5485,9.18,1
100,0.85,pso_warm,511,3777.1246,3777.1246,3186.6929,9.43,1
100,0.85,pso_warm,512,3904.6071,3899.5265,3813.6108,9.49,1
100,0.85,pso_warm,513,4371.9156,4371.6049,4122.6466,9.53,1
100,0.85,pso_warm,514,2599.1554,2595.7924,2290.6816,9.26,1
100,0.85,pso_warm,515,3771.8048,3771.8048,3539.8056,9.37,1
100,0.85,pso_warm,516,4087.8250,4087.8250,3641.9183,9.40,1
100,0.85,pso_warm,517,3943.2203,3936.1182,3641.1977,9.49,1
100,0.85,pso_warm,518,3414.7913,3389.2932,3197.7530,9.54,1
100,0.85,pso_warm,519,3931.1580,3931.1580,3471.2587,9.51,1
100,0.85,qpso,500,5675.9751,5197.5764,3849.2266,9.74,1
100,0.85,qpso,501,5116.2059,4659.3935,2947.8097,9.58,1
100,0.85,qpso,502,5733.6220,5271.8384,3659.9227,9.41,1
100,0.85,qpso,503,5794.4188,4831.7304,3441.2450,9.34,1
100,0.85,qpso,504,5280.7913,4232.7865,2655.8748,9.41,1
100,0.85,qpso,505,5796.6220,5058.4199,3570.4487,9.72,1
100,0.85,qpso,506,4894.6794,4488.3568,3072.2635,9.73,1
100,0.85,qpso,507,5685.1508,5033.7620,2672.9632,9.46,1
100,0.85,qpso,508,5306.8209,4736.9136,2916.6016,9.08,1
100,0.85,qpso,509,5287.9913,4887.5050,3412.8505,9.56,1
100,0.85,qpso,510,5242.4760,4750.3637,2829.1395,9.94,1
100,0.85,qpso,511,6328.1749,5717.7557,4012.2401,9.81,1
100,0.85,qpso,512,5852.9671,5225.5594,3617.8743,9.88,1
