customers,utilization,variant,instance_seed,raw_cost,cost_2opt_only,cost_full_polish,seconds,feasible
50,0.85,ga,500,2230.6654,2230.6654,2114.0250,16.60,1
50,0.85,ga,501,2421.0812,2394.3149,2127.4297,16.72,1
50,0.85,ga,502,2139.0823,2134.1442,1775.3418,16.74,1
50,0.85,ga,503,2174.7648,2134.4606,1915.6843,16.63,1
50,0.85,ga,504,1713.2110,1679.2935,1526.0880,16.76,1
50,0.85,ga,505,2123.9261,2114.8358,1862.5750,16.80,1
50,0.85,ga,506,1814.0894,1797.2659,1797.0083,16.66,1
50,0.85,ga,507,1854.0135,1839.5312,1572.5534,16.87,1
50,0.85,ga,508,1955.8602,1929.6347,1674.7055,16.49,1
50,0.85,ga,509,2223.3668,2157.0587,2057.7954,16.74,1
50,0.85,ga,510,1570.3184,1570.3184,1442.5438,17.30,1
50,0.85,ga,511,1975.5416,1975.5416,1703.9762,17.29,1
50,0.85,ga,512,2232.6659,2208.4166,2064.8154,17.49,1
50,0.85,ga,513,2321.9198,2285.4646,2090.2640,17.40,1
50,0.85,ga,514,1703.7345,1684.3672,1653.0560,17.31,1
50,0.85,ga,515,2195.0464,2177.3671,1962.3249,17.41,1
50,0.85,ga,516,2148.9269,2045.2377,1802.3430,17.44,1
50,0.85,ga,517,1955.9054,1868.6324,1783.3544,17.35,1
50,0.85,ga,518,2143.7892,2123.0072,1794.5446,17.27,1
50,0.85,ga,519,1796.0340,1758.4800,1603.5837,17.37,1
50,0.85,ga_warm,500,2121.0508,2121.0508,2003.0226,16.35,1
50,0.85,ga_warm,501,2067.6615,2067.6615,1873.0281,16.45,1
50,0.85,ga_warm,502,2051.8350,2039.0412,1886.4473,16.42,1
50,0.85,ga_warm,503,2008.1346,2008.1346,1832.6408,16.37,1
50,0.85,ga_warm,504,1647.9853,1627.3442,1562.6034,16.32,1
50,0.85,ga_warm,505,1866.8699,1866.8699,1746.6170,16.27,1
50,0.85,ga_warm,506,1664.1328,1664.1328,1604.8769,16.40,1
50,0.85,ga_warm,507,1735.1130,1706.1710,1423.0812,16.37,1
50,0.85,ga_warm,508,1754.9356,1745.7214,1745.7214,16.33,1
50,0.85,ga_warm,509,2006.0726,2006.0726,1880.3537,16.43,1
50,0.85,ga_warm,510,1621.0601,1607.7049,1558.4668,16.83,1
50,0.85,ga_warm,511,1893.3762,1893.3762,1744.0707,17.01,1
50,0.85,ga_warm,512,2127.7322,2113.0959,1997.4268,17.03,1
50,0.85,ga_warm,513,2323.7445,2323.7445,2124.4970,17.05,1
50,0.85,ga_warm,514,1532.1250,1532.1250,1434.0117,17.02,1
50,0.85,ga_warm,515,2105.1633,2105.1633,1844.4804,16.97,1
50,0.85,ga_warm,516,2179.0458,2174.8457,1735.2714,16.95,1
50,0.85,ga_warm,517,1939.8741,1939.8741,1712.1350,16.92,1
50,0.85,ga_warm,518,1864.7535,1858.0568,1801.5497,16.94,1
50,0.85,ga_warm,519,1767.9885,1767.9885,1662.8349,16.83,1
50,0.85,nn,500,2317.8979,2196.2875,2034.9004,0.14,1
50,0.85,nn,501,2409.0465,2254.6001,1877.4783,0.05,1
50,0.85,nn,502,2163.2181,2136.9707,1886.6594,0.05,1
50,0.85,nn,503,2182.4408,2077.6452,1939.2152,0.05,1
50,0.85,nn,504,1810.5373,1756.1415,1478.3109,0.06,1
50,0.85,nn,505,2090.0734,1978.0341,1770.8390,0.06,1
50,0.85,nn,506,1768.6473,1664.1328,1604.8769,0.05,1
50,0.85,nn,507,2133.4645,2041.7856,1909.0724,0.06,1
50,0.85,nn,508,2009.1769,1972.3736,1719.0203,0.05,1
50,0.85,nn,509,2177.6832,2021.5522,1842.2963,0.06,1
50,0.85,nn,510,1747.0766,1692.1030,1616.7868,0.05,1
50,0.85,nn,511,2095.4528,2042.5379,1933.9774,0.05,1
50,0.85,nn,512,2407.6035,2335.6907,2072.2459,0.06,1
50,0.85,nn,513,2384.0710,2379.6279,2010.1542,0.06,1
50,0.85,nn,514,1792.0190,1724.0482,1542.6834,0.06,1
50,0.85,nn,515,2119.9709,2105.1633,1803.3573,0.05,1
50,0.85,nn,516,2464.5408,2342.2088,1770.7995,0.05,1
50,0.85,nn,517,1987.2775,1940.5485,1769.0432,0.05,1
50,0.85,nn,518,2047.0333,1980.5916,1875.5081,0.04,1
50,0.85,nn,519,2004.2718,1942.0111,1547.8154,0.04,1
50,0.85,pso,500,2567.0700,2373.9385,1980.5200,1.23,1
50,0.85,pso,501,3162.6547,2545.6678,1820.6530,1.19,1
50,0.85,pso,502,2658.7571,2355.7336,1766.5455,1.20,1
50,0.85,pso,503,2967.0711,2553.2488,1834.4547,1.23,1
50,0.85,pso,504,2415.8434,2035.7373,1731.3941,1.19,1
50,0.85,pso,505,2750.4014,2459.3590,1846.5661,1.23,1
50,0.85,pso,506,2248.4278,1996.9405,1567.8299,1.21,1
50,0.85,pso,507,2289.3805,2128.0564,1380.4898,1.22,1
50,0.85,pso,508,2456.7533,2279.5021,1709.0846,1.20,1
50,0.85,pso,509,2807.3291,2583.7853,1725.9114,1.23,1
50,0.85,pso,510,1990.0625,1932.7897,1404.4254,1.64,1
50,0.85,pso,511,2796.3713,2377.8690,1741.0016,1.51,1
50,0.85,pso,512,2993.8257,2620.3136,2010.8251,1.44,1
50,0.85,pso,513,3387.2554,2981.9392,2104.4248,1.71,1
50,0.85,pso,514,2495.4830,2113.3566,1618.9064,1.67,1
50,0.85,pso,515,2960.6907,2508.4404,1993.1864,1.36,1
50,0.85,pso,516,2955.3748,2704.5036,1884.1520,1.52,1
50,0.85,pso,517,2300.7309,2035.9346,1715.8101,1.61,1
50,0.85,pso,518,2768.6725,2381.6099,1845.9082,1.73,1
50,0.85,pso,519,2217.8140,2054.7092,1644.7921,1.68,1
50,0.85,pso_warm,500,2189.3422,2189.3422,1964.5753,4.61,1
50,0.85,pso_warm,501,2180.3502,2180.3502,1862.0074,4.58,1
50,0.85,pso_warm,502,2036.7440,2027.8561,1873.8878,4.53,1
50,0.85,pso_warm,503,2045.3089,2040.3141,1869.8580,4.55,1
50,0.85,pso_warm,504,1597.7176,1588.2202,1588.2202,4.56,1
50,0.85,pso_warm,505,1839.6139,1828.4654,1745.7890,4.57,1
50,0.85,pso_warm,506,1615.8402,1615.8402,1543.0491,4.73,1
50,0.85,pso_warm,507,1853.2824,1853.2824,1693.6101,4.73,1
50,0.85,pso_warm,508,1741.1433,1705.6045,1705.6045,4.70,1
50,0.85,pso_warm,509,1958.9796,1942.4510,1837.9536,4.69,1
50,0.85,pso_warm,510,1619.4185,1610.6093,1552.7206,4.82,1
50,0.85,pso_warm,511,1991.5332,1985.4832,1751.4071,4.77,1
50,0.85,pso_warm,512,2194.5413,2191.7399,2039.9932,4.79,1
50,0.85,pso_warm,513,2177.1568,2172.7383,1949.9713,4.81,1
50,0.85,pso_warm,514,1643.8995,1643.8995,1510.2437,4.83,1
50,0.85,pso_warm,515,2018.3479,2006.9321,1792.7189,4.69,1
50,0.85,pso_warm,516,2101.4644,2092.0059,1699.8511,4.65,1
50,0.85,pso_warm,517,1776.4298,1776.4298,1639.8182,4.78,1
50,0.85,pso_warm,518,1856.6400,1852.6582,1819.2569,4.79,1
50,0.85,pso_warm,519,1832.6350,1820.7682,1575.4663,4.82,1
50,0.85,qpso,500,2810.0768,2460.1240,2025.5774,5.38,1
50,0.85,qpso,501,2858.1901,2614.1342,1950.5470,5.38,1
50,0.85,qpso,502,2757.0746,2557.5349,1945.7922,5.48,1
50,0.85,qpso,503,2837.7032,2385.4913,1802.9480,5.50,1
50,0.85,qpso,504,2068.7780,1872.3493,1663.9774,5.47,1
