stops,seed,vehicles,default_seconds,default_cost,default_overload,search1_seconds,search1_cost,search1_overload,search3_seconds,search3_cost,search3_overload,search10_seconds,search10_cost,search10_overload
60,707,11,1.65,316.9779,0.0,1.04,316.2567,0.0,3.03,316.2397,0.0,10.03,316.2397,0.0
60,708,12,1.77,396.3736,0.0,1.04,339.0206,0.0,3.04,339.0206,0.0,10.04,339.0206,0.0
60,709,11,1.75,276.4165,0.0,1.03,250.2105,0.0,3.04,250.2105,0.0,10.04,249.4456,0.0
60,710,11,1.7,321.4172,0.0,1.04,297.4983,0.0,3.04,297.101,0.0,10.04,297.0734,0.0
60,711,11,1.83,289.3542,0.0,1.04,272.7934,0.0,3.04,271.3311,0.0,10.04,271.3311,0.0
60,712,11,1.85,255.4663,0.0,1.03,246.0379,0.0,3.05,238.7928,0.0,10.03,233.2045,0.0
60,713,11,1.83,316.583,0.0,1.03,288.2756,0.0,3.04,287.574,0.0,10.03,287.574,0.0
60,714,11,1.77,362.7776,0.0,1.04,328.0304,0.0,3.03,324.0935,0.0,10.03,324.0059,0.0
60,715,12,1.8,303.0907,0.0,1.03,287.1837,0.0,3.04,285.6804,0.0,10.04,285.6804,0.0
60,716,10,1.76,300.3764,0.0,1.04,279.9079,0.0,3.03,279.9079,0.0,10.04,279.9079,0.0
60,717,11,1.8,323.8937,0.0,1.03,300.3481,0.0,3.03,300.1904,0.0,10.04,300.1904,0.0
60,718,11,1.74,309.9584,0.0,1.03,250.1045,0.0,3.04,246.0899,0.0,10.04,246.016,0.0
60,719,10,1.7,331.3127,0.0,1.03,296.3493,0.0,3.04,293.9609,0.0,10.04,293.3193,0.0
100,700,18,4.63,659.2733,0.0,1.37,615.8806,0.0,3.29,605.0287,0.0,10.27,603.2212,0.0
100,701,18,4.07,494.7232,0.0,1.52,451.5917,0.0,3.44,444.0929,0.0,10.26,441.8391,0.0
100,702,17,4.16,616.5184,0.0,1.61,551.5308,0.0,3.35,543.2857,0.0,10.25,532.7108,0.0
100,703,18,4.28,626.7066,0.0,1.38,552.6385,0.0,3.39,542.5382,0.0,10.26,538.6284,0.0
100,704,18,3.96,717.2782,0.0,1.47,707.9874,0.0,3.47,703.2778,0.0,10.29,695.7679,0.0
100,705,19,3.79,559.812,0.0,1.26,528.2009,0.0,3.3,525.1503,0.0,10.42,524.136,0.0
100,706,19,3.93,543.2766,0.0,1.45,525.2625,0.0,3.46,514.6348,0.0,10.29,513.4987,0.0
100,707,17,4.17,609.8321,0.0,1.46,590.5471,0.0,3.51,579.5097,0.0,10.25,574.4733,0.0
100,708,18,3.97,577.3336,0.0,1.32,517.6375,0.0,3.34,513.3148,0.0,10.49,507.2931,0.0
100,709,18,4.13,457.0747,0.0,1.47,431.413,0.0,3.49,431.1851,0.0,10.31,420.6888,0.0
100,710,18,4.48,429.6978,0.0,1.29,396.8489,0.0,3.4,371.6927,0.0,10.34,368.7773,0.0
100,711,18,4.91,429.5721,0.0,1.35,399.0559,0.0,3.35,394.7798,0.0,10.53,393.8821,0.0
100,712,19,4.15,395.3188,0.0,1.63,386.2907,0.0,3.34,378.9388,0.0,10.32,370.0647,0.0
100,713,18,4.48,467.7983,0.0,1.3,429.4404,0.0,3.36,408.6963,0.0,10.36,403.7324,0.0
100,714,19,4.77,620.806,0.0,1.37,593.1779,0.0,3.29,573.509,0.0,10.45,558.9084,0.0
100,715,18,4.87,487.409,0.0,1.38,460.8031,0.0,3.37,444.4507,0.0,10.41,439.6138,0.0
100,716,17,6.07,499.3544,0.0,1.13,449.0788,0.0,3.09,440.8391,0.0,10.12,440.4333,0.0
100,717,19,5.84,475.7775,0.0,1.11,441.2586,0.0,3.09,432.6704,0.0,10.09,428.3147,0.0
100,718,17,5.63,459.4457,0.0,1.11,411.7483,0.0,3.1,406.6356,0.0,10.1,404.5793,0.0
100,719,18,5.35,502.6082,0.0,1.13,434.8899,0.0,3.11,422.7309,0.0,10.09,422.7309,0.0
