pipeline,instance_seed,start_cost,start_seconds,after_local_search,seconds_per_ils_iteration,cost_after_100_ils_iterations,cost_after_200_ils_iterations,cost_after_300_ils_iterations,cost_after_400_ils_iterations,cost_after_500_ils_iterations,cost_after_600_ils_iterations,cost_after_700_ils_iterations,cost_after_800_ils_iterations,cost_after_900_ils_iterations,cost_after_1000_ils_iterations,cost_after_1100_ils_iterations,cost_after_1200_ils_iterations,cost_after_1300_ils_iterations,cost_after_1400_ils_iterations,cost_after_1500_ils_iterations,cost_after_1600_ils_iterations,nn_time_matched_extra_iterations
nn,508,3454.0919,0.00,2788.8965,0.0095,2689.1632,2669.7318,2640.3880,2633.6739,2632.5755,2632.5755,2632.5755,2632.5755,2607.7785,2605.2698,2605.2698,2605.2698,2605.2698,2592.2898,2592.2898,2592.2898,0
nn,509,3531.8859,0.00,3157.0956,0.0115,2978.5729,2948.8620,2948.8620,2948.8620,2948.8620,2948.8620,2940.8920,2940.8920,2940.8920,2940.8920,2940.8920,2931.7330,2931.7330,2931.7330,2931.7330,2931.7330,0
nn,510,2727.0700,0.00,2611.0697,0.0102,2344.9424,2328.1966,2313.7430,2313.7430,2313.6645,2313.6645,2313.6645,2313.6645,2303.8639,2300.4600,2300.4600,2300.4600,2300.4600,2300.4600,2300.4600,2300.4600,0
nn,511,3924.6255,0.00,3027.8065,0.0101,2914.1044,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,2905.1528,0
nn,512,4059.8527,0.00,3481.6932,0.0117,3311.7656,3311.7656,3303.8792,3303.8792,3303.8792,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,3303.8276,0
nn,513,4562.9489,0.00,3888.5883,0.0114,3682.8740,3662.3089,3662.3089,3662.3089,3657.2434,3657.2434,3657.2434,3657.2434,3657.2434,3657.2434,3657.2434,3648.2447,3648.2447,3648.2447,3648.2447,3648.2447,0
nn,514,2718.7613,0.00,2394.9268,0.0097,2167.6276,2156.8789,2156.8789,2156.8789,2156.8789,2156.8789,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,2126.8489,0
nn,515,3831.4371,0.00,3435.3116,0.0122,3389.5348,3388.9910,3388.9910,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,3387.6211,0
nn,516,4383.2101,0.00,3609.6688,0.0121,3283.0934,3279.1931,3263.7919,3254.1920,3247.4473,3196.8274,3196.8274,3181.1712,3181.1712,3181.1712,3181.1712,3181.1712,3181.1712,3181.1712,3181.1712,3181.1712,0
nn,517,4178.2444,0.00,3473.9382,0.0124,3392.4154,3373.0463,3367.9270,3363.2341,3363.2341,3363.2341,3361.6887,3356.7064,3356.7064,3356.7064,3356.7064,3356.7064,3356.7064,3356.7064,3356.7064,3356.7064,0
nn,518,3694.8886,0.00,3183.4711,0.0141,3011.6608,3003.1047,3003.1047,2999.2402,2997.9788,2994.4121,2986.7928,2986.7928,2982.7617,2982.7617,2982.7617,2982.7617,2975.4695,2975.4695,2975.4695,2975.4695,0
nn,519,4114.1203,0.00,3084.5026,0.0119,2953.2463,2943.9395,2941.6872,2911.0494,2911.0494,2911.0494,2911.0494,2907.7798,2900.7700,2900.7700,2900.7700,2899.5723,2899.5723,2899.5723,2899.5723,2899.5723,0
pso,500,3907.4953,2.41,3670.0909,0.0113,3445.8136,3412.6764,3412.6764,3407.9846,3406.4708,3406.4708,3401.4424,3401.4424,3394.8502,3394.8502,,,,,,,242
pso,501,2751.7710,2.38,2421.1878,0.0108,2339.8440,2339.8440,2338.6384,2335.1261,2334.7682,2328.7571,2328.7571,2328.7571,2328.7571,2328.7571,,,,,,,240
pso,502,3526.8477,2.41,3126.1697,0.0113,2844.9760,2844.9760,2844.9760,2844.7491,2811.5467,2811.5467,2811.5467,2811.5467,2811.5467,2811.5467,,,,,,,215
pso,503,3526.8038,2.46,3176.5306,0.0123,2878.4952,2840.3654,2826.1783,2826.1783,2817.6297,2817.6297,2817.6297,2817.6297,2817.6297,2817.6297,,,,,,,232
pso,504,2884.1529,2.56,2439.0420,0.0109,2334.2186,2308.3387,2283.2844,2261.1129,2261.1129,2261.1129,2261.1129,2261.1129,2261.1129,2261.1129,,,,,,,261
pso,505,3607.1851,2.54,3316.6383,0.0125,3152.0526,3133.8070,3108.1202,3108.1202,3108.1202,3107.9220,3107.9220,3107.9220,3107.9220,3107.9220,,,,,,,267
pso,506,2940.1673,2.54,2643.8103,0.0111,2477.4840,2477.4840,2477.4840,2477.3887,2477.3887,2477.3887,2477.3887,2477.3887,2477.3887,2477.3887,,,,,,,258
pso,507,3008.5979,2.58,2515.0637,0.0118,2364.2508,2364.2508,2360.5411,2360.5411,2360.5411,2360.5411,2356.2223,2356.2223,2356.2223,2356.2223,,,,,,,283
pso,508,3173.8351,2.53,2820.1375,0.0104,2699.4800,2616.9869,2615.8425,2615.8425,2615.8425,2615.8425,2610.6558,2610.6558,2610.6558,2596.8229,,,,,,,266
pso,509,3373.7983,2.58,3150.7752,0.0136,3002.4362,2972.1864,2965.7662,2958.3652,2958.3652,2952.5752,2952.5752,2952.5752,2949.2375,2949.2375,,,,,,,224
pso,510,2628.0113,2.49,2609.2755,0.0115,2355.6485,2340.7223,2300.4600,2299.5755,2293.3099,2290.8512,2288.4518,2288.4518,2288.4518,2288.4518,,,,,,,245
pso,511,3777.1246,2.58,3387.8415,0.0123,2958.3166,2948.4928,2948.4928,2943.9569,2940.8216,2930.7498,2930.7498,2930.7498,2930.7498,2930.7498,,,,,,,256
pso,512,3904.6071,2.60,3722.2065,0.0128,3379.2210,3373.3036,3359.2147,3339.6502,3339.6502,3339.6502,3334.6777,3334.6777,3334.6777,3334.6777,,,,,,,222
pso,513,4371.9156,2.75,3924.3197,0.0139,3659.8134,3657.9275,3657.0312,3654.3086,3652.6661,3652.6661,3652.6661,3652.6661,3647.9322,3647.9322,,,,,,,242
pso,514,2599.1554,2.66,2391.5013,0.0118,2175.2683,2156.0634,2156.0634,2156.0634,2133.1137,2133.1137,2133.1137,2133.1137,2133.1137,2133.1137,,,,,,,274
pso,515,3771.8048,2.59,3450.1673,0.0142,3409.4449,3407.9424,3384.7330,3382.1020,3371.6961,3371.6961,3371.6961,3371.6961,3371.6961,3371.6961,,,,,,,212
pso,516,4087.8250,2.68,3439.5013,0.0160,3202.3546,3198.6991,3195.6120,3195.6120,3195.6120,3195.6120,3195.6120,3195.6120,3195.6120,3195.6120,,,,,,,223
pso,517,3943.2203,2.77,3568.6640,0.0145,3422.9129,3362.7542,3362.7542,3362.7542,3362.7542,3362.7542,3362.7542,3362.7542,3362.7542,3362.7542,,,,,,,224
