instance_seed,cost,seconds
300,1206.3052,45.0
301,1208.3638,45.0
302,1155.5590,45.0
303,1168.0051,45.0
304,1212.1010,45.0
305,1182.1962,45.0
306,1132.4845,45.0
307,1218.4243,45.0
308,1136.2395,45.0
309,1148.7067,45.0
