problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
cvrp,100,pso_warm,506,2954.2111,2884.2754,68.74,1
cvrp,100,pso_warm,507,2928.3180,2614.2564,107.12,1
cvrp,100,pso_warm,508,3101.5128,2994.5128,104.66,1
cvrp,100,pso_warm,509,3327.0348,3164.0073,93.38,1
cvrp,100,pso_warm,510,2618.0329,2586.5603,100.17,1
cvrp,100,pso_warm,511,3573.4444,3177.6389,71.98,1
cvrp,100,pso_warm,512,3929.7449,3553.2850,73.09,1
cvrp,100,pso_warm,513,4227.2693,4026.4999,67.07,1
cvrp,100,pso_warm,514,2444.7509,2359.8282,105.29,1
cvrp,100,pso_warm,515,3725.9529,3620.4674,40.92,1
cvrp,100,pso_warm,516,3940.4995,3481.8171,88.54,1
cvrp,100,pso_warm,517,3853.8696,3713.8338,81.63,1
cvrp,100,pso_warm,518,3348.6963,3218.7751,47.43,1
cvrp,100,pso_warm,519,3453.8147,3115.1869,91.93,1
cvrp,100,qpso_warm,500,4076.7797,3746.9001,16.02,1
cvrp,100,qpso_warm,501,2743.7525,2497.6160,18.90,1
cvrp,100,qpso_warm,502,3455.4890,3224.8014,17.84,1
cvrp,100,qpso_warm,503,3475.4396,3080.2063,18.97,1
cvrp,100,qpso_warm,504,2859.9078,2519.8364,24.46,1
cvrp,100,qpso_warm,505,3551.9968,3423.2780,18.42,1
cvrp,100,qpso_warm,506,2982.8364,2887.0558,17.62,1
cvrp,100,qpso_warm,507,3020.2016,2622.0200,18.84,1
cvrp,100,qpso_warm,508,3114.2606,2825.0309,19.00,1
cvrp,100,qpso_warm,509,3395.5343,3218.4467,18.09,1
cvrp,100,qpso_warm,510,2618.0329,2586.5603,18.33,1
cvrp,100,qpso_warm,511,3649.1789,3398.0658,17.41,1
cvrp,100,qpso_warm,512,3936.1870,3515.5001,17.27,1
cvrp,100,qpso_warm,513,4254.0370,4062.8912,17.33,1
cvrp,100,qpso_warm,514,2609.4471,2304.3363,20.36,1
cvrp,100,qpso_warm,515,3781.7419,3631.3567,16.72,1
cvrp,100,qpso_warm,516,4053.3797,3495.9621,18.06,1
cvrp,100,qpso_warm,517,3992.3869,3653.5179,19.06,1
cvrp,100,qpso_warm,518,3383.3478,3188.9263,17.34,1
cvrp,100,qpso_warm,519,3596.2649,3232.3821,18.44,1
