problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,150,ga,300,4018.1391,1876.8500,16.88,1
tsp,150,ga,301,4371.1372,1294.4513,16.89,1
tsp,150,ga,302,3783.9054,1734.2510,17.42,1
tsp,150,ga,303,3663.4795,1709.4024,17.34,1
tsp,150,ga,304,4107.3070,1721.8263,17.42,1
tsp,150,ga,305,4264.4754,1976.3666,16.78,1
tsp,150,ga,306,4014.0762,1656.3687,16.97,1
tsp,150,ga,307,3808.7246,1687.4149,16.97,1
tsp,150,ga,308,3775.2327,1417.3218,14.51,1
tsp,150,ga,309,3891.4089,1661.8804,14.44,1
tsp,150,h_pso,300,1326.9650,1326.9650,73.10,1
tsp,150,h_pso,301,1276.6618,1276.6618,72.36,1
tsp,150,h_pso,302,1293.4594,1293.4594,72.52,1
tsp,150,h_pso,303,1211.0180,1211.0180,74.78,1
tsp,150,h_pso,304,1287.5967,1287.5967,69.68,1
tsp,150,h_pso,305,1215.9764,1215.9764,71.69,1
tsp,150,h_pso,306,1236.7013,1236.7013,55.39,1
tsp,150,h_pso,307,1282.9874,1282.9874,57.73,1
tsp,150,h_pso,308,1208.0116,1208.0116,57.50,1
tsp,150,h_pso,309,1245.6105,1245.6105,54.35,1
tsp,150,h_qpso,300,1294.9984,1294.9984,72.16,1
tsp,150,h_qpso,301,1253.1747,1253.1747,74.24,1
tsp,150,h_qpso,302,1242.1281,1242.1281,73.89,1
tsp,150,h_qpso,303,1205.3737,1205.3737,78.19,1
tsp,150,h_qpso,304,1294.1789,1294.1789,72.68,1
tsp,150,h_qpso,305,1243.5752,1243.5752,73.50,1
tsp,150,h_qpso,306,1176.2389,1176.2389,70.39,1
tsp,150,h_qpso,307,1284.8935,1284.8935,72.93,1
tsp,150,h_qpso,308,1164.4112,1164.4112,73.82,1
tsp,150,h_qpso,309,1265.6762,1265.6762,71.68,1
tsp,150,nn,300,1454.1703,1376.3054,0.59,1
tsp,150,nn,301,1473.3951,1297.6324,0.46,1
tsp,150,nn,302,1531.6522,1293.4594,0.58,1
tsp,150,nn,303,1272.2895,1211.0180,0.45,1
tsp,150,nn,304,1517.4230,1387.1507,0.55,1
tsp,150,nn,305,1483.5753,1291.4331,0.48,1
tsp,150,nn,306,1465.7202,1434.4924,0.49,1
tsp,150,nn,307,1415.6609,1333.7142,0.45,1
tsp,150,nn,308,1421.5362,1222.2608,0.47,1
tsp,150,nn,309,1505.3903,1343.5070,0.41,1
tsp,150,pso,300,9182.7815,2191.5096,5.18,1
tsp,150,pso,301,10728.4922,1401.4767,5.73,1
tsp,150,pso,302,7154.4204,1809.1825,5.49,1
tsp,150,pso,303,7935.5326,1638.4755,5.60,1
tsp,150,pso,304,9725.2590,1743.2769,5.33,1
tsp,150,pso,305,8198.1689,1621.9545,5.37,1
tsp,150,pso,306,8951.8308,1476.9324,5.35,1
tsp,150,pso,307,8208.2789,1748.3142,5.25,1
tsp,150,pso,308,8269.5773,1606.0637,11.69,1
tsp,150,pso,309,8457.5340,1533.6341,11.85,1
tsp,150,qpso,300,7170.2320,1893.9977,11.23,1
tsp,150,qpso,301,8628.7543,1474.4085,10.85,1
tsp,150,qpso,302,6710.5381,1805.1432,11.49,1
tsp,150,qpso,303,7262.9176,1535.3777,10.81,1
tsp,150,qpso,304,8242.2474,1399.1376,10.12,1
tsp,150,qpso,305,7479.5901,1570.5729,10.06,1
tsp,150,qpso,306,7703.6264,1388.8287,9.59,1
tsp,150,qpso,307,6828.2107,1654.7030,10.92,1
tsp,150,qpso,308,7435.7776,1545.5081,9.81,1
tsp,150,qpso,309,6577.1890,1440.5818,11.41,1
