problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,50,pso,312,2093.7677,820.5164,0.69,1
tsp,50,pso,313,2607.3436,945.0911,0.71,1
tsp,50,pso,314,1654.5223,743.1087,0.68,1
tsp,50,pso,315,1620.1242,797.4199,0.72,1
tsp,50,pso,316,1659.5953,881.9438,0.69,1
tsp,50,pso,317,2028.8440,840.4813,0.72,1
tsp,50,pso,318,1952.3846,799.1825,0.69,1
tsp,50,pso,319,1781.9724,706.2204,0.71,1
tsp,50,qpso,300,1382.9398,834.5058,0.79,1
tsp,50,qpso,301,1257.8455,852.6439,1.06,1
tsp,50,qpso,302,1314.1226,886.6065,1.13,1
tsp,50,qpso,303,1689.0351,761.9055,0.91,1
tsp,50,qpso,304,1147.9850,782.3050,3.68,1
tsp,50,qpso,305,1668.6298,829.3264,3.84,1
tsp,50,qpso,306,1134.8023,800.8399,3.54,1
tsp,50,qpso,307,2104.3769,802.5174,3.96,1
tsp,50,qpso,308,1223.9897,789.2208,3.76,1
tsp,50,qpso,309,1352.5051,932.9564,3.77,1
tsp,50,qpso,310,1584.3987,849.7132,3.91,1
tsp,50,qpso,311,1044.3046,749.8804,3.78,1
tsp,50,qpso,312,1436.1707,801.8162,3.80,1
tsp,50,qpso,313,1631.3951,939.0965,3.74,1
tsp,50,qpso,314,1584.7457,843.5108,3.86,1
tsp,50,qpso,315,1513.1017,791.9108,3.83,1
tsp,50,qpso,316,1737.7740,811.8047,3.77,1
tsp,50,qpso,317,1552.3675,787.9038,3.74,1
tsp,50,qpso,318,1560.3507,815.0231,3.86,1
tsp,50,qpso,319,1552.8957,779.1684,3.79,1
