problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,50,ga,300,1019.6349,888.4014,13.16,1
tsp,50,ga,301,1231.5281,880.0539,13.34,1
tsp,50,ga,302,1168.4088,915.0743,13.31,1
tsp,50,ga,303,1362.0679,889.9018,13.18,1
tsp,50,ga,304,1127.3286,824.1699,13.18,1
tsp,50,ga,305,1091.0062,903.4325,13.20,1
tsp,50,ga,306,1294.3012,740.0231,13.52,1
tsp,50,ga,307,1221.5472,1090.3456,13.50,1
tsp,50,ga,308,1122.3186,810.0432,13.84,1
tsp,50,ga,309,1107.7502,860.9785,13.93,1
tsp,50,ga,310,949.9521,878.5615,13.90,1
tsp,50,ga,311,1019.0996,668.1285,14.01,1
tsp,50,ga,312,1210.7554,867.7690,14.02,1
tsp,50,ga,313,1177.6355,968.6752,13.95,1
tsp,50,ga,314,995.3058,870.6938,13.90,1
tsp,50,ga,315,1264.8010,933.8742,14.01,1
tsp,50,ga,316,1121.7339,780.8828,10.15,1
tsp,50,ga,317,1398.8348,766.5451,9.93,1
tsp,50,ga,318,1302.2806,948.2658,9.95,1
tsp,50,ga,319,1214.8689,827.6801,9.84,1
tsp,50,h_pso,300,691.1274,691.1274,7.23,1
tsp,50,h_pso,301,777.6984,777.6984,7.40,1
tsp,50,h_pso,302,682.2140,682.2140,7.45,1
tsp,50,h_pso,303,700.5634,700.5634,7.43,1
tsp,50,h_pso,304,694.7932,694.7932,7.56,1
tsp,50,h_pso,305,699.8740,699.8740,7.18,1
tsp,50,h_pso,306,677.5560,677.5560,7.01,1
tsp,50,h_pso,307,725.9835,725.9835,7.27,1
tsp,50,h_pso,308,661.3533,661.3533,7.25,1
tsp,50,h_pso,309,750.3465,750.3465,7.48,1
tsp,50,h_pso,310,680.2098,680.2098,7.21,1
tsp,50,h_pso,311,654.7568,654.7568,7.28,1
tsp,50,h_pso,312,726.5078,726.5078,7.18,1
tsp,50,h_pso,313,898.1285,898.1285,6.79,1
tsp,50,h_pso,314,669.3838,669.3838,7.37,1
tsp,50,h_pso,315,726.7239,726.7239,7.13,1
tsp,50,h_pso,316,700.7865,700.7865,7.56,1
tsp,50,h_pso,317,720.5131,720.5131,7.72,1
tsp,50,h_pso,318,728.2574,728.2574,6.95,1
tsp,50,h_pso,319,697.1208,697.1208,7.53,1
tsp,50,h_qpso,300,696.5424,696.5424,10.14,1
tsp,50,h_qpso,301,768.8630,768.8630,10.30,1
tsp,50,h_qpso,302,682.1865,682.1865,10.38,1
tsp,50,h_qpso,303,718.3544,718.3544,10.58,1
tsp,50,h_qpso,304,685.1345,685.1345,10.89,1
tsp,50,h_qpso,305,715.8239,715.8239,10.49,1
tsp,50,h_qpso,306,677.7368,677.7368,10.38,1
tsp,50,h_qpso,307,722.0971,722.0971,10.56,1
tsp,50,h_qpso,308,663.3015,663.3015,8.27,1
tsp,50,h_qpso,309,754.6033,754.6033,8.63,1
tsp,50,h_qpso,310,686.4803,686.4803,8.44,1
tsp,50,h_qpso,311,658.8171,658.8171,8.34,1
tsp,50,h_qpso,312,744.4854,744.4854,8.10,1
tsp,50,h_qpso,313,899.5927,899.5927,7.83,1
tsp,50,h_qpso,314,671.4626,671.4626,8.36,1
tsp,50,h_qpso,315,726.3874,726.3874,7.99,1
tsp,50,h_qpso,316,709.8285,709.8285,8.16,1
tsp,50,h_qpso,317,716.6252,716.6252,8.14,1
tsp,50,h_qpso,318,730.2842,730.2842,7.70,1
tsp,50,h_qpso,319,698.5547,698.5547,8.45,1
tsp,50,nn,300,777.4350,714.4537,0.06,1
tsp,50,nn,301,906.1903,828.8269,0.06,1
tsp,50,nn,302,770.4015,764.7776,0.05,1
tsp,50,nn,303,881.6306,725.8686,0.05,1
tsp,50,nn,304,951.7275,823.7649,0.06,1
tsp,50,nn,305,816.9054,801.8046,0.10,1
tsp,50,nn,306,825.1075,753.5362,0.12,1
tsp,50,nn,307,904.0183,854.7607,0.05,1
tsp,50,nn,308,835.1525,728.2446,0.05,1
tsp,50,nn,309,880.4615,793.0110,0.06,1
tsp,50,nn,310,828.0410,763.1600,0.05,1
tsp,50,nn,311,848.3512,687.3128,0.05,1
tsp,50,nn,312,837.3374,775.2482,0.06,1
tsp,50,nn,313,1016.2479,946.7507,0.05,1
tsp,50,nn,314,744.5986,699.4488,0.06,1
tsp,50,nn,315,954.1189,765.4841,0.06,1
tsp,50,nn,316,800.3925,791.4204,0.06,1
tsp,50,nn,317,890.9652,751.6569,0.05,1
tsp,50,nn,318,966.9287,752.0081,0.05,1
tsp,50,nn,319,808.4640,717.5287,0.04,1
tsp,50,pso,300,1979.4621,781.4781,0.75,1
tsp,50,pso,301,1916.9017,882.9310,0.71,1
tsp,50,pso,302,1642.1149,994.5738,0.73,1
tsp,50,pso,303,2100.5604,808.8401,0.74,1
tsp,50,pso,304,1956.9987,820.2855,0.72,1
tsp,50,pso,305,1922.6576,1130.9565,0.73,1
tsp,50,pso,306,2320.7106,832.2513,0.70,1
tsp,50,pso,307,1748.4867,938.8520,0.73,1
tsp,50,pso,308,1463.5187,697.5801,0.70,1
tsp,50,pso,309,1684.6804,914.7628,0.72,1
tsp,50,pso,310,1846.8809,782.3108,0.69,1
tsp,50,pso,311,1701.4755,710.6069,0.70,1
