instance_seed,cost,seconds
300,927.2880,30.0
301,968.4538,30.0
302,1006.3618,30.0
303,1018.0723,30.0
304,970.9803,30.0
305,1034.3766,30.0
306,936.6206,30.0
307,1098.6382,30.0
308,893.9729,30.0
309,1040.1967,30.0
310,978.7159,30.0
311,1018.7642,30.0
312,965.3544,30.0
313,959.5009,30.0
314,1038.5802,30.0
315,940.8765,30.0
316,950.6416,30.0
317,954.0031,30.0
318,996.5453,30.0
319,928.3687,30.0
