problem,stops,variant,instance_seed,raw_cost,polished_cost,seconds,feasible
tsp,100,ga,300,2541.3654,1173.3576,17.07,1
tsp,100,ga,301,2419.4390,1375.5955,16.83,1
tsp,100,ga,302,2356.0335,1272.4859,16.76,1
tsp,100,ga,303,2334.6270,1218.5931,16.67,1
tsp,100,ga,304,2256.8332,1245.4933,16.69,1
tsp,100,ga,305,2338.5082,1298.2247,16.60,1
tsp,100,ga,306,2391.6968,1273.4102,16.67,1
tsp,100,ga,307,2279.0704,1256.3756,16.75,1
tsp,100,ga,308,2429.2330,1099.4502,16.82,1
tsp,100,ga,309,2262.2079,1455.5483,16.77,1
tsp,100,ga,310,2189.9748,1332.0847,16.68,1
tsp,100,ga,311,2333.4563,1430.8708,16.69,1
tsp,100,ga,312,2603.7203,1437.7831,16.61,1
tsp,100,ga,313,2395.1723,1349.9223,16.65,1
tsp,100,ga,314,2702.0169,1233.0335,16.58,1
tsp,100,ga,315,2608.9408,1219.1265,16.63,1
tsp,100,ga,316,2254.5521,1114.5461,16.66,1
tsp,100,ga,317,2388.9654,1380.3808,16.62,1
tsp,100,ga,318,2508.7443,1319.0654,16.65,1
tsp,100,ga,319,2240.2450,1313.6073,16.63,1
tsp,100,h_pso,300,956.8143,956.8143,27.39,1
tsp,100,h_pso,301,976.4275,976.4275,28.15,1
tsp,100,h_pso,302,1034.5149,1034.5149,28.89,1
tsp,100,h_pso,303,1071.5233,1071.5233,29.07,1
tsp,100,h_pso,304,1006.0168,1006.0168,27.17,1
tsp,100,h_pso,305,1043.1137,1043.1137,28.23,1
tsp,100,h_pso,306,944.8357,944.8357,28.42,1
tsp,100,h_pso,307,1130.7376,1130.7376,28.15,1
tsp,100,h_pso,308,933.1340,933.1340,28.35,1
tsp,100,h_pso,309,1077.9637,1077.9637,28.59,1
tsp,100,h_pso,310,1008.7380,1008.7380,28.11,1
tsp,100,h_pso,311,1078.8117,1078.8117,29.02,1
tsp,100,h_pso,312,1025.0612,1025.0612,28.96,1
tsp,100,h_pso,313,1009.7504,1009.7504,28.86,1
tsp,100,h_pso,314,1046.3165,1046.3165,29.11,1
tsp,100,h_pso,315,976.6640,976.6640,28.67,1
tsp,100,h_pso,316,955.1126,955.1126,29.14,1
tsp,100,h_pso,317,981.0228,981.0228,29.04,1
tsp,100,h_pso,318,1062.8792,1062.8792,28.17,1
tsp,100,h_pso,319,959.2053,959.2053,28.98,1
tsp,100,h_qpso,300,941.9267,941.9267,28.87,1
tsp,100,h_qpso,301,978.7565,978.7565,29.52,1
