instance_seed,cost,seconds
300,684.8346,10.0
301,764.2938,10.0
302,653.9003,10.0
303,698.0513,10.0
304,684.4549,10.0
305,707.8868,10.0
306,676.9710,10.0
307,722.0971,10.0
308,657.8873,10.0
309,735.4275,10.0
310,667.5589,10.0
311,654.7568,10.0
312,722.0308,10.0
313,892.1489,10.0
314,667.5670,10.0
315,726.3874,10.0
316,700.7865,10.0
317,708.7079,10.0
318,721.3958,10.0
319,696.3301,10.0
