solver,stops,seed,setting,time_min,distance_km,delay_min,overload
default,60,803,avoid jams,374.3376,181.3542,107.5,0.0
default,60,803,balanced,389.99,187.9397,113.1252,0.0
default,60,804,fastest,268.6416,133.5301,73.4736,0.0
default,60,804,shortest,306.303,125.4378,120.7506,0.0
default,60,804,avoid jams,269.404,138.7822,66.4375,0.0
default,60,804,balanced,269.6323,133.8402,74.169,0.0
default,60,805,fastest,299.3223,141.9292,90.7551,0.0
default,60,805,shortest,327.1017,130.7027,133.3335,0.0
default,60,805,avoid jams,324.6753,163.5125,85.5986,0.0
default,60,805,balanced,299.4104,142.9708,89.4551,0.0
default,60,806,fastest,410.7355,218.1323,103.0677,0.0
default,60,806,shortest,479.1344,197.3538,188.1788,0.0
default,60,806,avoid jams,405.5654,224.1681,90.8197,0.0
default,60,806,balanced,390.4745,207.0934,98.7097,0.0
default,60,807,fastest,298.1524,140.355,91.2697,0.0
default,60,807,shortest,346.4872,141.2046,136.6216,0.0
default,60,807,avoid jams,314.6505,153.6685,88.5642,0.0
default,60,807,balanced,317.6693,150.947,95.5129,0.0
default,60,808,fastest,306.861,149.6107,86.7998,0.0
default,60,808,shortest,352.787,144.2223,139.8948,0.0
default,60,808,avoid jams,294.2675,147.1231,78.4852,0.0
default,60,808,balanced,290.5861,143.0275,80.634,0.0
default,60,809,fastest,358.8195,169.7488,109.4518,0.0
default,60,809,shortest,383.1734,151.3946,158.427,0.0
default,60,809,avoid jams,356.6761,174.1662,100.5848,0.0
default,60,809,balanced,346.1732,162.1497,107.1626,0.0
default,60,810,fastest,251.2849,120.6696,73.5194,0.0
default,60,810,shortest,267.6897,105.4657,110.3919,0.0
default,60,810,avoid jams,239.211,121.5945,60.5995,0.0
default,60,810,balanced,235.8922,112.4096,70.1324,0.0
default,60,811,fastest,355.4737,181.0342,91.0963,0.0
default,60,811,shortest,390.7454,169.8409,141.0066,0.0
default,60,811,avoid jams,402.7224,208.0164,98.4585,0.0
default,60,811,balanced,362.6939,183.9011,94.2086,0.0
default,60,812,fastest,372.3277,189.2464,95.4056,0.0
default,60,812,shortest,439.216,180.1738,172.5869,0.0
default,60,812,avoid jams,387.6966,204.7011,88.301,0.0
default,60,812,balanced,376.3822,191.1156,96.6415,0.0
default,60,813,fastest,410.9009,204.9134,110.8164,0.0
default,60,813,shortest,499.8065,206.5371,192.7566,0.0
default,60,813,avoid jams,424.4925,217.9045,104.9071,0.0
default,60,813,balanced,441.4895,225.2697,112.1979,0.0
default,60,814,fastest,282.7655,145.4559,70.3629,0.0
default,60,814,shortest,304.9875,128.1244,114.6416,0.0
default,60,814,avoid jams,273.3625,144.0571,62.5011,0.0
default,60,814,balanced,272.412,140.9549,66.4898,0.0
default,60,815,fastest,363.8779,177.4892,104.4133,0.0
default,60,815,shortest,387.6709,156.9204,156.0202,0.0
default,60,815,avoid jams,373.0107,187.8769,97.8228,0.0
default,60,815,balanced,349.4056,169.5714,101.8572,0.0
default,60,816,fastest,425.6243,202.4492,132.3835,0.0
default,60,816,shortest,460.5954,176.2091,197.0019,0.0
default,60,816,avoid jams,401.7621,197.7755,114.7589,0.0
default,60,816,balanced,406.8482,194.9049,123.698,0.0
default,60,817,fastest,279.6373,145.8745,70.1171,0.0
default,60,817,shortest,319.2582,130.7441,126.4672,0.0
default,60,817,avoid jams,289.2956,153.4792,69.0001,0.0
default,60,817,balanced,275.8002,142.9247,70.0443,0.0
default,60,818,fastest,304.9476,149.6979,87.7442,0.0
default,60,818,shortest,365.3556,147.1866,147.8265,0.0
default,60,818,avoid jams,317.017,163.3302,80.552,0.0
default,60,818,balanced,303.7702,150.7168,85.7734,0.0
default,60,819,fastest,321.8462,165.4033,79.8992,0.0
default,60,819,shortest,399.802,159.1943,163.1239,0.0
default,60,819,avoid jams,340.9363,184.5702,72.6799,0.0
default,60,819,balanced,324.1992,166.1207,80.897,0.0
route search,30,800,fastest,185.4311,96.6447,45.7126,0.0
route search,30,800,shortest,230.5707,92.2569,93.4733,0.0
route search,30,800,avoid jams,187.4972,102.3879,39.6269,0.0
route search,30,800,balanced,185.597,97.9828,43.9355,0.0
route search,30,801,fastest,158.821,81.7942,40.7961,0.0
route search,30,801,shortest,192.3403,77.143,77.9865,0.0
route search,30,801,avoid jams,164.2036,87.6703,38.0955,0.0
route search,30,801,balanced,158.8315,81.9447,40.4275,0.0
route search,30,802,fastest,145.423,76.8269,35.8193,0.0
route search,30,802,shortest,170.3573,69.9776,67.4939,0.0
route search,30,802,avoid jams,147.2428,79.4283,34.2109,0.0
route search,30,802,balanced,146.7365,78.1244,35.6077,0.0
route search,30,803,fastest,219.8767,105.8679,63.7803,0.0
route search,30,803,shortest,259.1255,97.6699,113.1816,0.0
route search,30,803,avoid jams,219.5784,109.3019,59.1966,0.0
route search,30,803,balanced,218.6543,105.9961,62.196,0.0
route search,30,804,fastest,147.3742,69.3696,45.9394,0.0
route search,30,804,shortest,167.1313,65.1902,70.2838,0.0
route search,30,804,avoid jams,146.6897,74.2879,38.4056,0.0
route search,30,804,balanced,147.6148,70.764,44.0884,0.0
route search,30,805,fastest,189.8778,93.0654,53.0172,0.0
route search,30,805,shortest,211.3313,83.2395,87.4708,0.0
route search,30,805,avoid jams,190.1503,94.7993,50.7868,0.0
route search,30,805,balanced,189.9637,93.8887,51.7548,0.0
route search,30,806,fastest,202.7425,101.3068,53.6798,0.0
route search,30,806,shortest,221.5434,96.1834,79.1832,0.0
route search,30,806,avoid jams,199.4565,102.0464,49.7148,0.0
route search,30,806,balanced,212.5166,106.7999,55.9399,0.0
route search,30,807,fastest,163.896,79.2247,47.9954,0.0
route search,30,807,shortest,190.4055,76.5348,76.5656,0.0
route search,30,807,avoid jams,167.0976,85.1595,43.049,0.0
route search,30,807,balanced,163.9194,79.2165,47.9672,0.0
route search,30,808,fastest,159.4353,74.6634,50.1678,0.0
route search,30,808,shortest,171.5043,71.2006,66.1414,0.0
route search,30,808,avoid jams,159.267,76.7164,46.8423,0.0
route search,30,808,balanced,157.9361,74.4011,48.7896,0.0
route search,30,809,fastest,167.3532,80.5271,49.2839,0.0
route search,30,809,shortest,186.0184,76.1705,73.0887,0.0
route search,30,809,avoid jams,168.5798,84.4116,44.9682,0.0
route search,30,809,balanced,166.6717,79.6766,49.6032,0.0
route search,30,810,fastest,158.1948,78.576,43.4039,0.0
route search,30,810,shortest,173.2608,71.1734,67.4254,0.0
route search,30,810,avoid jams,159.0589,81.8745,40.458,0.0
route search,30,810,balanced,158.1948,78.576,43.4039,0.0
route search,30,811,fastest,305.7677,147.327,88.7673,0.0
route search,30,811,shortest,368.6382,142.4583,155.926,0.0
route search,30,811,avoid jams,308.1525,154.0257,81.5415,0.0
route search,30,811,balanced,305.7948,147.8244,87.5872,0.0
route search,30,812,fastest,175.6925,85.459,51.631,0.0
route search,30,812,shortest,198.3501,82.0459,76.9034,0.0
route search,30,812,avoid jams,176.8994,88.0487,48.0731,0.0
route search,30,812,balanced,175.9311,86.2058,49.7175,0.0
route search,30,813,fastest,218.3338,99.9705,70.4901,0.0
route search,30,813,shortest,236.5588,96.5562,93.156,0.0
route search,30,813,avoid jams,221.7371,107.8132,63.2998,0.0
route search,30,813,balanced,218.6286,102.4962,67.0181,0.0
route search,30,814,fastest,166.9306,78.7081,52.7805,0.0
