stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
15,910,qpso,aware,133.1718,0.0,0,68.512,133.1718
15,910,qpso,ignoring,100.2898,87.5709,4,136.472,975.9986
15,910,pso,aware,143.6706,0.0,0,96.1061,143.6706
15,910,pso,ignoring,110.2065,149.3071,4,132.4086,1603.2778
15,910,ga,aware,120.2127,0.0,0,87.2162,120.2127
15,910,ga,ignoring,110.2065,120.4727,4,127.5953,1314.9336
15,910,nearest_neighbor,aware,133.0891,63.0482,2,124.2493,763.5715
15,910,nearest_neighbor,ignoring,100.4516,136.2575,4,140.2635,1463.0266
15,911,qpso,aware,111.5037,0.0,0,90.0154,111.5037
15,911,qpso,ignoring,103.7769,147.4735,4,61.7438,1578.5118
15,911,pso,aware,153.935,0.0,0,50.0081,153.935
15,911,pso,ignoring,95.0335,151.6024,6,67.0188,1611.0575
15,911,ga,aware,153.4579,0.0,0,8.4819,153.4579
15,911,ga,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,911,nearest_neighbor,aware,107.3642,139.9063,4,56.2238,1506.4269
15,911,nearest_neighbor,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,912,qpso,aware,105.7473,0.0,0,42.8299,105.7473
15,912,qpso,ignoring,91.4257,106.8157,3,34.3584,1159.5823
15,912,pso,aware,105.7473,0.0,0,42.8299,105.7473
15,912,pso,ignoring,86.3881,111.2948,4,35.7663,1199.3361
15,912,ga,aware,105.7473,0.0,0,42.8299,105.7473
15,912,ga,ignoring,89.0127,42.4813,4,61.4971,513.8252
15,912,nearest_neighbor,aware,86.3881,111.2948,4,35.7663,1199.3361
15,912,nearest_neighbor,ignoring,86.3881,111.2948,4,35.7663,1199.3361
15,913,qpso,aware,169.8622,0.0,0,9.5884,169.8622
15,913,qpso,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,pso,aware,175.7221,0.6307,1,7.6073,182.029
15,913,pso,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,ga,aware,164.5023,0.0,0,9.5884,164.5023
15,913,ga,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,nearest_neighbor,aware,141.627,171.3648,5,60.1494,1855.2754
15,913,nearest_neighbor,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,914,qpso,aware,145.671,0.0,0,73.6402,145.671
15,914,qpso,ignoring,125.4452,40.8072,3,85.9421,533.5174
15,914,pso,aware,137.5284,0.0,0,99.4452,137.5284
15,914,pso,ignoring,131.4346,101.6449,4,105.6766,1147.8833
15,914,ga,aware,147.8434,0.0,0,80.3019,147.8434
15,914,ga,ignoring,131.1343,79.3045,5,105.6766,924.1793
15,914,nearest_neighbor,aware,164.8377,55.6058,3,69.9418,720.8959
15,914,nearest_neighbor,ignoring,142.1768,125.7459,4,125.8224,1399.636
15,915,qpso,aware,120.1577,0.0,0,28.3992,120.1577
15,915,qpso,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,pso,aware,117.6457,0.0,0,31.2427,117.6457
15,915,pso,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,ga,aware,121.7287,0.0,0,28.3347,121.7287
15,915,ga,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,nearest_neighbor,aware,108.9608,69.3693,6,60.7348,802.6542
15,915,nearest_neighbor,ignoring,96.8807,168.283,5,73.154,1779.7108
15,916,qpso,aware,118.3172,0.0,0,79.6399,118.3172
15,916,qpso,ignoring,95.1067,47.3595,4,105.7101,568.7014
15,916,pso,aware,118.3172,0.0,0,79.6399,118.3172
15,916,pso,ignoring,95.8708,45.8515,4,91.1996,554.3862
15,916,ga,aware,121.5195,0.0,0,83.725,121.5195
15,916,ga,ignoring,99.9366,23.0875,2,89.723,330.8121
15,916,nearest_neighbor,aware,120.7314,17.1943,3,109.7794,292.6746
15,916,nearest_neighbor,ignoring,99.9366,23.0875,2,89.723,330.8121
15,917,qpso,aware,140.7122,0.0,0,20.5771,140.7122
15,917,qpso,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,pso,aware,125.2751,0.0,0,52.5113,125.2751
15,917,pso,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,ga,aware,135.631,0.0,0,51.4873,135.631
15,917,ga,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,917,nearest_neighbor,aware,109.8141,79.6219,3,45.0542,906.0326
15,917,nearest_neighbor,ignoring,107.8709,226.2401,5,62.5113,2370.2721
15,918,qpso,aware,99.4763,0.0,0,58.017,99.4763
15,918,qpso,ignoring,97.4478,283.3215,8,128.5739,2930.6631
15,918,pso,aware,110.6525,0.0,0,58.5386,110.6525
15,918,pso,ignoring,97.3064,297.235,8,125.6982,3069.6569
15,918,ga,aware,104.1816,0.0,0,58.0951,104.1816
15,918,ga,ignoring,102.2566,174.5049,8,105.9199,1847.3055
15,918,nearest_neighbor,aware,124.4405,128.2757,4,74.0576,1407.1974
15,918,nearest_neighbor,ignoring,97.4478,271.8189,8,125.6982,2815.6364
15,919,qpso,aware,132.1842,0.0,0,57.6632,132.1842
15,919,qpso,ignoring,127.9639,31.8879,3,77.502,446.8432
15,919,pso,aware,132.1842,0.0,0,57.6632,132.1842
15,919,pso,ignoring,127.9639,26.6255,2,77.502,394.2188
15,919,ga,aware,132.1842,0.0,0,57.6632,132.1842
15,919,ga,ignoring,132.8854,28.8683,1,56.7761,421.5687
15,919,nearest_neighbor,aware,123.1489,49.5614,3,72.1554,618.7634
15,919,nearest_neighbor,ignoring,123.1489,49.5614,3,72.1554,618.7634
