stops,seed,algorithm,condition,driving_min,late_min,late_stops,wait_min,objective
15,909,nearest_neighbor,ignoring,88.4032,84.2946,2,85.7881,931.349
15,910,qpso,aware,134.7615,0.0,0,88.5239,134.7615
15,910,qpso,ignoring,99.2483,142.5255,4,140.2635,1524.5037
15,910,pso,aware,134.2905,0.0,0,110.5369,134.2905
15,910,pso,ignoring,110.2065,149.3071,4,132.4086,1603.2778
15,910,ga,aware,132.3445,0.0,0,93.6964,132.3445
15,910,ga,ignoring,110.2065,70.3258,3,122.5953,813.4644
15,910,nearest_neighbor,aware,133.0891,63.0482,2,124.2493,763.5715
15,910,nearest_neighbor,ignoring,100.4516,136.2575,4,140.2635,1463.0266
15,911,qpso,aware,125.6758,0.0,0,15.3636,125.6758
15,911,qpso,ignoring,103.7769,147.4735,4,61.7438,1578.5118
15,911,pso,aware,148.5286,0.0,0,35.4442,148.5286
15,911,pso,ignoring,95.0335,151.6024,6,67.0188,1611.0575
15,911,ga,aware,145.4463,3.275,2,25.3595,178.1961
15,911,ga,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,911,nearest_neighbor,aware,107.3642,139.9063,4,56.2238,1506.4269
15,911,nearest_neighbor,ignoring,104.5122,140.9201,3,56.2238,1513.7128
15,912,qpso,aware,123.2633,0.0,0,29.5481,123.2633
15,912,qpso,ignoring,85.9169,154.0602,8,63.1673,1626.519
15,912,pso,aware,125.9219,0.0,0,33.6985,125.9219
15,912,pso,ignoring,86.3881,111.2948,4,35.7663,1199.3361
15,912,ga,aware,119.3506,0.0,0,22.1957,119.3506
15,912,ga,ignoring,89.0127,42.4813,4,61.4971,513.8252
15,912,nearest_neighbor,aware,86.3881,111.2948,4,35.7663,1199.3361
15,912,nearest_neighbor,ignoring,86.3881,111.2948,4,35.7663,1199.3361
15,913,qpso,aware,148.0435,0.0,0,0.1943,148.0435
15,913,qpso,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,pso,aware,183.3122,0.0,0,0.0,183.3122
15,913,pso,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,ga,aware,137.7655,0.0,0,33.7858,137.7655
15,913,ga,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,913,nearest_neighbor,aware,141.627,171.3648,5,60.1494,1855.2754
15,913,nearest_neighbor,ignoring,99.3138,215.9353,7,79.5637,2258.6667
15,914,qpso,aware,135.9127,0.0,0,103.0342,135.9127
15,914,qpso,ignoring,125.4452,40.8072,3,85.9421,533.5174
15,914,pso,aware,170.6528,0.0,0,64.9989,170.6528
15,914,pso,ignoring,131.4346,101.6449,4,105.6766,1147.8833
15,914,ga,aware,148.5045,0.0,0,67.6829,148.5045
15,914,ga,ignoring,137.4881,86.9181,4,106.162,1006.6693
15,914,nearest_neighbor,aware,164.8377,55.6058,3,69.9418,720.8959
15,914,nearest_neighbor,ignoring,142.1768,125.7459,4,125.8224,1399.636
15,915,qpso,aware,115.5061,0.0,0,46.1571,115.5061
15,915,qpso,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,pso,aware,144.1183,0.0,0,8.9119,144.1183
15,915,pso,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,ga,aware,112.0308,0.0,0,31.2427,112.0308
15,915,ga,ignoring,96.8807,168.283,5,73.154,1779.7108
15,915,nearest_neighbor,aware,108.9608,69.3693,6,60.7348,802.6542
15,915,nearest_neighbor,ignoring,96.8807,168.283,5,73.154,1779.7108
15,916,qpso,aware,118.3172,0.0,0,76.7086,118.3172
15,916,qpso,ignoring,95.1067,16.0798,2,86.6889,255.9044
15,916,pso,aware,118.3172,0.0,0,79.6399,118.3172
15,916,pso,ignoring,95.8708,45.8515,4,91.1996,554.3862
15,916,ga,aware,121.5195,0.0,0,83.725,121.5195
15,916,ga,ignoring,99.9366,23.0875,2,89.723,330.8121
