nodes,weights,pair,hops,algorithm,cost,exact_cost,gap_pct,seconds,dimension
40,time,0,5,dijkstra,11.86939296693261,11.86939296693261,0.0,0.000414699999964796,0
40,time,0,5,qpso,11.86939296693261,11.86939296693261,0.0,0.08098740000423277,16
40,time,0,5,qpso cold,11.86939296693261,11.86939296693261,0.0,0.09082689999922877,16
40,time,0,5,qpso big,11.86939296693261,11.86939296693261,0.0,0.38919259999966016,16
40,time,0,5,pso,11.86939296693261,11.86939296693261,0.0,0.07463239999924554,16
40,time,0,5,ga,11.86939296693261,11.86939296693261,0.0,0.34062640000047395,16
40,time,1,10,dijkstra,23.463666146691182,23.463666146691182,0.0,0.0008318000036524609,0
40,time,1,10,qpso,23.463666146691182,23.463666146691182,0.0,0.13384019999648444,39
40,time,1,10,qpso cold,23.625770969098504,23.463666146691182,0.6908759330015521,0.16052650000347057,39
40,time,1,10,qpso big,23.463666146691182,23.463666146691182,0.0,0.7179012000051443,39
40,time,1,10,pso,23.625770969098504,23.463666146691182,0.6908759330015521,0.11591419999604113,39
40,time,1,10,ga,23.625770969098504,23.463666146691182,0.6908759330015521,0.410642499999085,39
40,time,2,8,dijkstra,21.56826228437056,21.56826228437056,0.0,0.0004456000024219975,0
40,time,2,8,qpso,21.56826228437056,21.56826228437056,0.0,0.13724209999782033,23
40,time,2,8,qpso cold,21.56826228437056,21.56826228437056,0.0,0.13726470000256086,23
40,time,2,8,qpso big,21.56826228437056,21.56826228437056,0.0,0.5721310000008089,23
40,time,2,8,pso,21.56826228437056,21.56826228437056,0.0,0.11330489999818383,23
40,time,2,8,ga,21.56826228437056,21.56826228437056,0.0,0.4364784999997937,23
40,time,3,6,dijkstra,17.41017064437348,17.41017064437348,0.0,0.0009439999994356185,0
40,time,3,6,qpso,17.41017064437348,17.41017064437348,0.0,0.11584020000009332,21
40,time,3,6,qpso cold,17.41017064437348,17.41017064437348,0.0,0.1138760000030743,21
40,time,3,6,qpso big,17.41017064437348,17.41017064437348,0.0,0.4301911999937147,21
40,time,3,6,pso,17.41017064437348,17.41017064437348,0.0,0.09217699999862816,21
40,time,3,6,ga,17.54926854776709,17.41017064437348,0.7989462380057993,0.3399021000004723,21
40,time,4,5,dijkstra,20.978060625247572,20.978060625247572,0.0,0.0008645999987493269,0
40,time,4,5,qpso,20.978060625247572,20.978060625247572,0.0,0.09962760000053095,26
40,time,4,5,qpso cold,20.978060625247572,20.978060625247572,0.0,0.10369920000084676,26
40,time,4,5,qpso big,20.978060625247572,20.978060625247572,0.0,0.6126915999993798,26
40,time,4,5,pso,20.978060625247572,20.978060625247572,0.0,0.08956939999916358,26
40,time,4,5,ga,20.978060625247572,20.978060625247572,0.0,0.32424100000207545,26
40,time,5,4,dijkstra,13.180171045923514,13.180171045923514,0.0,0.000721100004739128,0
40,time,5,4,qpso,13.180171045923514,13.180171045923514,0.0,0.08962710000196239,18
40,time,5,4,qpso cold,13.180171045923514,13.180171045923514,0.0,0.1342616000038106,18
40,time,5,4,qpso big,13.180171045923514,13.180171045923514,0.0,0.45817389999865554,18
40,time,5,4,pso,13.180171045923514,13.180171045923514,0.0,0.08841080000274815,18
40,time,5,4,ga,13.180171045923514,13.180171045923514,0.0,0.39123860000108834,18
40,time,6,8,dijkstra,18.83437451360923,18.83437451360923,0.0,0.00046579999616369605,0
40,time,6,8,qpso,18.83437451360923,18.83437451360923,0.0,0.16158700000232784,40
40,time,6,8,qpso cold,18.83437451360923,18.83437451360923,0.0,0.14394850000098813,40
40,time,6,8,qpso big,18.83437451360923,18.83437451360923,0.0,0.7409006999951089,40
40,time,6,8,pso,18.83437451360923,18.83437451360923,0.0,0.12701189999643248,40
40,time,6,8,ga,18.83437451360923,18.83437451360923,0.0,0.35930999999982305,40
40,time,7,6,dijkstra,16.097195577464674,16.097195577464674,0.0,0.0005911999978707172,0
40,time,7,6,qpso,16.097195577464674,16.097195577464674,0.0,0.1425454999989597,27
40,time,7,6,qpso cold,16.097195577464674,16.097195577464674,0.0,0.15788210000027902,27
40,time,7,6,qpso big,16.097195577464674,16.097195577464674,0.0,0.7723621000041021,27
40,time,7,6,pso,16.097195577464674,16.097195577464674,0.0,0.14849300000059884,27
40,time,7,6,ga,16.152703361961127,16.097195577464674,0.3448289127713683,0.33466430000407854,27
40,time,8,5,dijkstra,11.390682111013192,11.390682111013192,0.0,0.00014290000399341807,0
40,time,8,5,qpso,11.390682111013192,11.390682111013192,0.0,0.09123050000198418,12
40,time,8,5,qpso cold,11.390682111013192,11.390682111013192,0.0,0.07826119999663206,12
40,time,8,5,qpso big,11.390682111013192,11.390682111013192,0.0,0.32934840000234544,12
40,time,8,5,pso,11.390682111013192,11.390682111013192,0.0,0.06490450000273995,12
40,time,8,5,ga,11.390682111013192,11.390682111013192,0.0,0.3203025000038906,12
40,time,9,7,dijkstra,23.796687501475823,23.796687501475823,0.0,0.00018089999502990395,0
40,time,9,7,qpso,24.588624968206286,23.796687501475823,3.327931531148395,0.18009790000360226,34
40,time,9,7,qpso cold,24.588624968206286,23.796687501475823,3.327931531148395,0.16252990000066347,34
40,time,9,7,qpso big,23.796687501475823,23.796687501475823,0.0,0.6647005999984685,34
40,time,9,7,pso,23.796687501475823,23.796687501475823,0.0,0.11937119999493007,34
40,time,9,7,ga,24.96878751264951,23.796687501475823,4.9254754935996665,0.4457752000016626,34
40,time,10,4,dijkstra,11.321284874087489,11.321284874087489,0.0,0.00013480000052368268,0
40,time,10,4,qpso,11.321284874087489,11.321284874087489,0.0,0.09832359999563778,17
40,time,10,4,qpso cold,11.321284874087489,11.321284874087489,0.0,0.09152200000244193,17
