n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
50,300,1,QPSO,1382.9398080383214,834.5058357349387,0.5819470000060392,391
50,300,1,PSO,1762.7425841660097,727.3917206370612,0.4698086999997031,
50,301,1,QPSO,1257.8455441715514,852.6438863677375,0.5760736999945948,386
50,301,1,PSO,1864.2342675401462,849.7886483704034,0.4854388000021572,
50,302,1,QPSO,1314.122579917915,886.6065076213739,0.5842552999965847,410
50,302,1,PSO,1778.5459486509776,694.9318526734596,0.47406340000452474,
50,303,1,QPSO,1689.0351483409252,761.9055339986036,0.5651862000013352,515
50,303,1,PSO,1870.2820802379842,1063.6845743450253,0.4998448999976972,
50,304,1,QPSO,1147.9849799847475,782.3050373494328,0.5672762000031071,334
50,304,1,PSO,2178.8268799230023,863.1066757264357,0.5007710000063526,
50,305,1,QPSO,1668.629771355697,829.3263748612729,0.5899953999978607,
50,305,1,PSO,1630.5025333191113,839.3175707116612,0.4891205000021728,
50,306,1,QPSO,1134.8023417734012,800.8398683387387,1.6699587999974028,257
50,306,1,PSO,1893.864734370566,902.0170593919497,1.2666248000023188,
50,307,1,QPSO,2104.3769148433976,802.5174457130186,0.6087050999994972,
50,307,1,PSO,1708.8986130794508,867.3295192402175,0.49664770000526914,
50,308,1,QPSO,1223.989746489738,789.2208374331912,0.5754337999969721,327
50,308,1,PSO,1585.8570611036912,704.6054922571245,0.5119143000047188,
50,309,1,QPSO,1352.5051371480545,932.956440990457,0.6242803000059212,453
50,309,1,PSO,1718.1953322883526,889.9920982595129,0.45514810000167927,
50,310,1,QPSO,1584.3987439005407,849.7131826808034,0.5994486999989022,506
50,310,1,PSO,1985.9122528517762,749.5885208397328,0.46851340000284836,
50,311,1,QPSO,1044.304607589423,749.8804046356807,0.5804253999958746,324
50,311,1,PSO,1530.797277800121,753.57121070603,0.49536499999521766,
50,312,1,QPSO,1436.1707422070049,801.8161922967879,0.601450099995418,443
50,312,1,PSO,1846.2874784061366,987.261902149864,0.46537350000289734,
50,313,1,QPSO,1631.3951236374562,939.0964556199422,0.5666673000014271,364
50,313,1,PSO,2602.1910148720144,1046.0298826551864,0.5360229999932926,
50,314,1,QPSO,1584.7456904789808,843.5107891567246,0.6180970999994315,
50,314,1,PSO,1457.4471573342719,848.7630222594428,0.46718930000497494,
50,315,1,QPSO,1513.1016957358163,791.9108107224907,0.5308451000018977,470
50,315,1,PSO,1796.1195672627512,988.5816499899369,0.4858717000024626,
50,316,1,QPSO,1737.7739741937826,811.8047122737655,0.5767380999968736,
50,316,1,PSO,1461.3471037652268,797.2632660420829,0.49572690000059083,
50,317,1,QPSO,1552.367487727434,787.9038075148744,0.5622096999941277,
50,317,1,PSO,1543.3879755049647,922.4768582254586,0.4325516000026255,
50,318,1,QPSO,1560.3506810045455,815.0230739054499,0.5743661000014981,517
50,318,1,PSO,1913.933800831109,952.6672516837921,0.5045485000009649,
50,319,1,QPSO,1552.8956909077751,779.1683757081234,0.5660438999984763,408
50,319,1,PSO,1928.9854474574252,860.8241377479278,0.5199821999995038,
50,320,1,QPSO,2163.1269344130833,999.1945826030254,0.5861308000021381,549
50,320,1,PSO,2381.796225164229,873.0212789165321,0.4680635999975493,
50,321,1,QPSO,1779.754003885085,716.1430334689126,0.5710115000038058,
50,321,1,PSO,1577.4874688124733,797.7584206940468,0.43156509999971604,
50,322,1,QPSO,1710.6089892805653,894.0630218490166,0.5695619999969495,472
50,322,1,PSO,2506.3742973401513,976.7043951290705,0.4790987000014866,
50,323,1,QPSO,1754.0339610664992,1001.2752302425224,0.5754458000010345,703
50,323,1,PSO,1903.977097968733,837.2193431525843,0.504003100002592,
50,324,1,QPSO,1945.2896186254766,801.2143040104027,0.5235545999967144,
50,324,1,PSO,1686.8945857180242,772.2131199482227,0.4389246999999159,
50,325,1,QPSO,1341.8223847125507,850.4963971103881,0.5152450000023236,315
50,325,1,PSO,2237.119792280376,904.571884634105,0.5156449999994948,
50,326,1,QPSO,1080.503886976718,673.2498931453241,0.5354793000005884,256
50,326,1,PSO,1671.7042229282083,814.8515580679202,0.4658955999984755,
50,327,1,QPSO,1833.3586403068728,849.9897735741853,0.5239048000003095,
50,327,1,PSO,1663.8424535861075,837.7327288096812,0.4648780999996234,
50,328,1,QPSO,2161.2518125543297,839.4752488389815,0.5472590999997919,
50,328,1,PSO,1569.0173970488788,804.2361144875098,0.524593600006483,
50,329,1,QPSO,1483.9234758038015,785.5651333307056,0.5438413000010769,394
50,329,1,PSO,2066.125984856474,821.8853278551418,0.5116075000041747,
