n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
20,300,1,QPSO,489.09903648160315,408.62168086730935,0.2730970000047819,140
20,300,1,PSO,604.9507004107811,417.9174794075922,0.22497859999566572,
20,301,1,QPSO,473.27907762944676,457.48455894663107,0.297932800000126,113
20,301,1,PSO,495.9999561149294,418.8393194785213,0.2488861999954679,
20,302,1,QPSO,735.8550028461184,564.4714892106387,0.2791317000010167,59
20,302,1,PSO,854.3466986093517,572.1929853763729,0.221397799999977,
20,303,1,QPSO,580.2752453016759,580.2752453016759,0.2687327000021469,89
20,303,1,PSO,762.0976912844905,546.4049076328492,0.2201774999994086,
20,304,1,QPSO,586.2500005775415,586.2500005775415,0.3064396000045235,99
20,304,1,PSO,691.4908475982406,576.1153879379776,0.21981349999987287,
20,305,1,QPSO,529.8620437759081,529.8620437759081,0.30129390000365674,161
20,305,1,PSO,778.771321796449,548.0182656083691,0.228681399996276,
20,306,1,QPSO,635.1075656908139,489.1806851748482,0.28096470000309637,359
20,306,1,PSO,679.6359214424677,550.271142264319,0.2671483999947668,
20,307,1,QPSO,604.8529325148199,604.8529325148199,0.3122704000052181,172
20,307,1,PSO,725.0423072684026,581.7996401908032,0.26634820000617765,
20,308,1,QPSO,457.0537562126628,457.0537562126628,0.2928970000066329,35
20,308,1,PSO,592.4270974047021,467.9651769539492,0.27489110000169603,
20,309,1,QPSO,567.5186937252159,567.5186937252159,0.3198458000042592,323
20,309,1,PSO,574.8790511392872,574.8790511392872,0.2617887999949744,
20,310,1,QPSO,574.4654968312103,574.4654968312103,0.3172534000041196,144
20,310,1,PSO,669.5556943163576,449.2833596411209,0.29400149999855785,
20,311,1,QPSO,652.0245920794611,540.7864608059767,0.3272436999977799,89
20,311,1,PSO,804.0609846509999,679.129604887105,0.2725002000006498,
20,312,1,QPSO,662.335916710627,654.3904585494138,0.30211629999394063,233
20,312,1,PSO,699.1462433045041,688.0004939407789,0.22863640000286978,
20,313,1,QPSO,619.5332365304074,619.5332365304074,0.3106666000021505,52
20,313,1,PSO,817.5261091354663,545.4736294847438,0.27941119999741204,
20,314,1,QPSO,488.6268217698543,418.1257800418918,0.3780486000032397,114
20,314,1,PSO,534.6821438476392,534.6821438476392,0.27624370000557974,
20,315,1,QPSO,512.8268693556832,450.4363920847715,0.30778499999723863,94
20,315,1,PSO,719.5930176574218,448.7557086828987,0.27737010000419104,
20,316,1,QPSO,570.2160667781641,570.2160667781641,0.31329189999814844,182
20,316,1,PSO,700.7765932710387,558.1250218971052,0.2652321999994456,
20,317,1,QPSO,638.0174044503436,638.0174044503436,0.2872005999961402,25
20,317,1,PSO,1018.3461478898865,729.3291060025642,0.24682290000055218,
20,318,1,QPSO,507.93833901399546,480.22375484654094,0.3082961000036448,52
20,318,1,PSO,736.3793116208175,645.5740071905913,0.2653525999994599,
20,319,1,QPSO,474.46812513872607,474.46812513872607,0.33778410000377335,141
20,319,1,PSO,530.4445324873527,527.7209393337694,0.2786290000003646,
20,320,1,QPSO,410.51660485702536,410.51660485702536,0.31144050000148127,243
20,320,1,PSO,430.0708653610186,390.9258638561869,0.26149270000314573,
20,321,1,QPSO,605.9896727109643,443.3395184980084,0.29699819999950705,141
20,321,1,PSO,749.4181523274541,568.2562038983274,0.2672904999999446,
20,322,1,QPSO,625.8097564288139,575.993938463034,0.31682159999763826,58
20,322,1,PSO,870.5578601510739,574.9214526699587,0.23043580000376096,
20,323,1,QPSO,516.4805072169333,516.4805072169333,0.33607750000373926,188
20,323,1,PSO,581.430019708332,516.4988479297189,0.29797859999962384,
20,324,1,QPSO,580.9384825052861,579.147944529844,0.33780839999963064,45
20,324,1,PSO,834.5873247772287,577.9558961635225,0.30184680000093067,
20,325,1,QPSO,557.5394965052715,557.5394965052715,0.32451480000599986,45
20,325,1,PSO,812.2757963364234,661.6731305946871,0.3046930000054999,
20,326,1,QPSO,497.98687151206485,497.98687151206485,0.3216750999999931,54
20,326,1,PSO,615.2257214406948,518.3721996909454,0.2618007999990368,
20,327,1,QPSO,478.79877134424714,478.79877134424714,0.3095640999963507,97
20,327,1,PSO,633.7054482656193,502.7778470038009,0.29103759999998147,
20,328,1,QPSO,563.3785205842228,558.8077822386275,0.3294746999963536,92
20,328,1,PSO,728.387129043845,443.28631414200606,0.27520689999801107,
20,329,1,QPSO,613.8392446158052,568.7744225246272,0.32436759999836795,70
20,329,1,PSO,727.7597125195498,625.896447996221,0.26654530000087107,
