n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
30,300,1,QPSO,609.9425776196916,609.9425776196916,0.4113069999948493,289
30,300,1,PSO,749.6554150957364,658.0833462148313,0.3135755000039353,
30,301,1,QPSO,660.2994458022625,609.1387953305281,0.38634230000025127,272
30,301,1,PSO,905.7783994395359,628.1217991976564,0.33600189999560826,
30,302,1,QPSO,781.0900854672781,663.9134586367064,0.4134187000017846,222
30,302,1,PSO,973.0450780667735,701.4689516509422,0.32892960000026505,
30,303,1,QPSO,593.4384501255206,593.4384501255206,0.40747689999989234,72
30,303,1,PSO,1007.2678052609094,753.6435175690182,0.33795370000007097,
30,304,1,QPSO,728.5055997787093,644.6458781859006,0.36001840000244556,185
30,304,1,PSO,990.1497255677522,640.52702332411,0.3482938000015565,
30,305,1,QPSO,669.9450026301527,543.7313960923659,0.453935099998489,151
30,305,1,PSO,1064.7524721161165,577.7500606643473,0.33365749999939,
30,306,1,QPSO,677.404174995365,582.1731685352352,0.4209855000008247,276
30,306,1,PSO,943.8559131823031,535.0334066333455,0.34426010000606766,
30,307,1,QPSO,780.3368110010528,702.1648028211875,0.42207139999663923,222
30,307,1,PSO,1149.3612752381678,675.6526213877298,0.3263213000027463,
30,308,1,QPSO,868.0339987651087,504.9369378663073,0.39214470000297297,494
30,308,1,PSO,944.5508394797719,645.8543396997811,0.34503720000066096,
30,309,1,QPSO,859.0166960325649,665.3987786451248,0.38538160000462085,212
30,309,1,PSO,1049.7395242054706,647.623251616165,0.3721326000013505,
30,310,1,QPSO,607.731812590088,598.8138043934905,0.4127236000058474,175
30,310,1,PSO,867.6893267599568,701.044348119219,0.352122700001928,
30,311,1,QPSO,1028.450102594587,675.4079583100975,0.4038988000029349,362
30,311,1,PSO,1190.2110659583568,638.7472403494156,0.3603355000013835,
30,312,1,QPSO,1434.129264239688,723.2896727399002,0.9280214999962482,563
30,312,1,PSO,1563.537338550464,722.9244032877262,1.9101156999968225,
30,313,1,QPSO,725.2392854510055,653.4384980032346,0.5243429000038304,221
30,313,1,PSO,1101.280413260877,704.2923230483401,0.35617939999792725,
30,314,1,QPSO,576.7197415961084,576.7197415961084,0.37698850000015227,113
30,314,1,PSO,894.719313755496,595.5880912203638,0.3490471000040998,
30,315,1,QPSO,596.9392662327708,596.9392662327708,0.416594599999371,173
30,315,1,PSO,865.0049765244382,594.5121796541613,0.3388095999980578,
30,316,1,QPSO,753.519261825365,753.519261825365,0.4080125999971642,458
30,316,1,PSO,959.8579808299171,626.9091932079178,0.3661170999985188,
30,317,1,QPSO,770.8306017022076,755.7595519698582,0.4066798000058043,35
30,317,1,PSO,1444.9828088615507,801.0876880828989,0.3861555000039516,
30,318,1,QPSO,644.4522164722574,552.93883149811,0.39121119999617804,169
30,318,1,PSO,1045.4121974508246,566.2978073089845,0.33240310000110185,
30,319,1,QPSO,602.0561298703976,602.0561298703976,0.41212480000103824,93
30,319,1,PSO,1005.229520886377,595.5333994727139,0.340725800000655,
30,320,1,QPSO,704.5957898506823,535.968150055986,0.404810300002282,223
30,320,1,PSO,1023.3528311921191,507.81215994642855,0.3486570999957621,
30,321,1,QPSO,749.6561929280244,585.9951263579566,0.3879672999973991,114
30,321,1,PSO,1132.2366008170306,787.3365620586053,0.35286799999448704,
30,322,1,QPSO,765.1934588776847,725.2485765805797,0.40034199999354314,154
30,322,1,PSO,997.319449298047,713.9332525103796,0.3739967000001343,
30,323,1,QPSO,555.9342131941293,555.9342131941293,0.40302909999445546,98
30,323,1,PSO,1002.1197901279468,627.6366677683718,0.33935110000311397,
30,324,1,QPSO,666.7662939549447,657.6593000071683,0.4416547000000719,90
30,324,1,PSO,1175.688412148355,625.6890974766641,0.308479699997406,
30,325,1,QPSO,784.7442439606122,639.0218920971726,0.3992456000050879,109
30,325,1,PSO,1192.0453609561346,681.4667868309145,0.32235100000252714,
30,326,1,QPSO,698.2437235513489,651.2648049676975,0.3870918999964488,295
30,326,1,PSO,840.4772648206313,638.3964179707494,0.35029470000154106,
30,327,1,QPSO,933.2656804852348,632.9062505070928,0.3992279999947641,436
30,327,1,PSO,1047.481830564028,552.4958645365142,0.3616751000008662,
30,328,1,QPSO,613.2128477303692,453.0976830773549,0.422241699998267,120
30,328,1,PSO,972.7515220260935,583.4448853466918,0.33117379999748664,
30,329,1,QPSO,1075.6398987321038,612.7636737194339,0.37444520000281045,486
30,329,1,PSO,1213.709944956486,595.89394788663,0.34023180000076536,
