n_stops,instance_seed,algo_seed,algorithm,raw_cost,polished_cost,raw_runtime_sec,iterations_to_match_pso_final
20,300,1,QPSO,489.09903648160315,408.62168086730935,0.2853376999992179,82
20,300,1,PSO,631.9813859605638,484.0652994107964,0.23417350000090664,
20,301,1,QPSO,473.27907762944676,457.48455894663107,0.2616496999980882,89
20,301,1,PSO,589.9362722840547,418.8393194785213,0.27226320000045234,
20,302,1,QPSO,735.8550028461184,564.4714892106387,0.27765699999872595,89
20,302,1,PSO,826.8817352263138,599.3744127304055,0.2452024000012898,
20,303,1,QPSO,580.2752453016759,580.2752453016759,0.29488560000027064,89
20,303,1,PSO,766.5468988703288,530.5075513461909,0.2255425000039395,
20,304,1,QPSO,586.2500005775415,586.2500005775415,0.34855780000361847,95
20,304,1,PSO,729.622329826601,581.968057923867,0.2451777999958722,
20,305,1,QPSO,529.8620437759081,529.8620437759081,0.289575100003276,164
20,305,1,PSO,705.2550975926025,689.2085418176134,0.25384020000637975,
20,306,1,QPSO,635.1075656908139,489.1806851748482,0.36592730000120355,
20,306,1,PSO,466.58930658321367,466.58930658321367,0.26103329999750713,
20,307,1,QPSO,604.8529325148199,604.8529325148199,0.32207699999707984,97
20,307,1,PSO,788.318236040333,593.0682136201065,0.24718729999585776,
20,308,1,QPSO,457.0537562126628,457.0537562126628,0.3620295000000624,35
20,308,1,PSO,632.8641990210712,535.6967150213247,0.25284199999441626,
20,309,1,QPSO,567.5186937252159,567.5186937252159,0.3292042000030051,57
20,309,1,PSO,771.2048837811057,650.3377533359644,0.2713011000014376,
20,310,1,QPSO,574.4654968312103,574.4654968312103,0.34561269999539945,144
20,310,1,PSO,665.4833619526013,450.10275090596105,0.25178389999928186,
20,311,1,QPSO,652.0245920794611,540.7864608059767,0.34311609999713255,108
20,311,1,PSO,743.1063585344607,596.6534993445986,0.25156289999722503,
20,312,1,QPSO,662.335916710627,654.3904585494138,0.34822920000442537,89
20,312,1,PSO,790.5032853087539,671.7584477740539,0.23520250000001397,
20,313,1,QPSO,619.5332365304074,619.5332365304074,0.3455833999978495,76
20,313,1,PSO,753.3450090994535,753.3450090994535,0.24517000000196276,
20,314,1,QPSO,488.6268217698543,418.1257800418918,0.28492759999789996,46
20,314,1,PSO,614.6610984154297,515.7877377717846,0.2628079999994952,
20,315,1,QPSO,512.8268693556832,450.4363920847715,0.34008210000320105,150
20,315,1,PSO,604.8344532129219,481.9947104945371,0.2711154999997234,
20,316,1,QPSO,570.2160667781641,570.2160667781641,0.34245350000128383,188
20,316,1,PSO,683.9344101199778,643.6526503478617,0.3009068999963347,
20,317,1,QPSO,638.0174044503436,638.0174044503436,0.34210470000107307,112
20,317,1,PSO,790.8293618546712,644.7763916206975,0.28939639999589417,
20,318,1,QPSO,507.93833901399546,480.22375484654094,0.32916300000215415,61
20,318,1,PSO,686.1906571827196,510.722637023215,0.2834504000056768,
20,319,1,QPSO,474.46812513872607,474.46812513872607,0.3251979999986361,57
20,319,1,PSO,655.2279390187101,411.852470243547,0.29225379999843426,
20,320,1,QPSO,410.51660485702536,410.51660485702536,0.3264186999949743,126
20,320,1,PSO,493.74030266605166,390.0791568780597,0.28649099999893224,
20,321,1,QPSO,605.9896727109643,443.3395184980084,0.299097700000857,173
20,321,1,PSO,703.0133999492701,676.084177845756,0.2435819999955129,
20,322,1,QPSO,625.8097564288139,575.993938463034,0.3141730999996071,21
20,322,1,PSO,909.640093387705,603.2263457095881,0.2543468000003486,
20,323,1,QPSO,516.4805072169333,516.4805072169333,0.32980200000019977,119
20,323,1,PSO,844.7818827913162,526.9152860582777,0.24453360000188695,
20,324,1,QPSO,580.9384825052861,579.147944529844,0.31604930000321474,37
20,324,1,PSO,982.9085571855444,587.4867729495849,0.27533689999836497,
20,325,1,QPSO,557.5394965052715,557.5394965052715,0.3376797999953851,57
20,325,1,PSO,749.2351094727533,589.696230194377,0.29384359999676235,
20,326,1,QPSO,497.98687151206485,497.98687151206485,0.29928949999884935,93
20,326,1,PSO,549.5913328250741,521.1383829342454,0.29675529999803985,
20,327,1,QPSO,478.79877134424714,478.79877134424714,0.3375457000001916,136
20,327,1,PSO,559.3594101611775,506.5381834288796,0.29643790000409354,
20,328,1,QPSO,563.3785205842228,558.8077822386275,0.31626349999714876,217
20,328,1,PSO,639.4089942093012,443.395546302355,0.2503371999991941,
20,329,1,QPSO,613.8392446158052,568.7744225246272,0.3036763000054634,70
20,329,1,PSO,768.3609268645218,593.7313176623331,0.27541889999702107,
